AggregationMethod,Date,Version,AirportName,PercentOfBaseline,City,State,Country
Daily,2020-10-19,1.0,Los Angeles International,81,Los Angeles,California,United States of America (the)
Daily,2020-11-25,1.0,Los Angeles International,86,Los Angeles,California,United States of America (the)
Daily,2020-03-16,1.0,Los Angeles International,98,Los Angeles,California,United States of America (the)
Daily,2020-03-18,1.0,Los Angeles International,89,Los Angeles,California,United States of America (the)
Daily,2020-05-03,1.0,Los Angeles International,50,Los Angeles,California,United States of America (the)
Daily,2020-09-23,1.0,Los Angeles International,78,Los Angeles,California,United States of America (the)
Daily,2020-10-24,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-11-29,1.0,Los Angeles International,76,Los Angeles,California,United States of America (the)
Daily,2020-05-06,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-06-01,1.0,Los Angeles International,61,Los Angeles,California,United States of America (the)
Daily,2020-07-25,1.0,Los Angeles International,68,Los Angeles,California,United States of America (the)
Daily,2020-09-21,1.0,Los Angeles International,79,Los Angeles,California,United States of America (the)
Daily,2020-04-17,1.0,Los Angeles International,62,Los Angeles,California,United States of America (the)
Daily,2020-05-13,1.0,Los Angeles International,64,Los Angeles,California,United States of America (the)
Daily,2020-05-27,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-06-18,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-08-01,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-11-24,1.0,Los Angeles International,89,Los Angeles,California,United States of America (the)
Daily,2020-11-28,1.0,Los Angeles International,72,Los Angeles,California,United States of America (the)
Daily,2020-05-26,1.0,Los Angeles International,51,Los Angeles,California,United States of America (the)
Daily,2020-06-17,1.0,Los Angeles International,67,Los Angeles,California,United States of America (the)
Daily,2020-07-05,1.0,Los Angeles International,39,Los Angeles,California,United States of America (the)
Daily,2020-11-05,1.0,Los Angeles International,86,Los Angeles,California,United States of America (the)
Daily,2020-11-30,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-04-13,1.0,Los Angeles International,59,Los Angeles,California,United States of America (the)
Daily,2020-04-20,1.0,Los Angeles International,59,Los Angeles,California,United States of America (the)
Daily,2020-04-23,1.0,Los Angeles International,63,Los Angeles,California,United States of America (the)
Daily,2020-05-23,1.0,Los Angeles International,59,Los Angeles,California,United States of America (the)
Daily,2020-05-28,1.0,Los Angeles International,69,Los Angeles,California,United States of America (the)
Daily,2020-06-26,1.0,Los Angeles International,68,Los Angeles,California,United States of America (the)
Daily,2020-08-24,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-11-27,1.0,Los Angeles International,48,Los Angeles,California,United States of America (the)
Daily,2020-03-21,1.0,Los Angeles International,76,Los Angeles,California,United States of America (the)
Daily,2020-06-20,1.0,Los Angeles International,53,Los Angeles,California,United States of America (the)
Daily,2020-08-07,1.0,Los Angeles International,76,Los Angeles,California,United States of America (the)
Daily,2020-08-16,1.0,Los Angeles International,63,Los Angeles,California,United States of America (the)
Daily,2020-09-30,1.0,Los Angeles International,73,Los Angeles,California,United States of America (the)
Daily,2020-10-21,1.0,Los Angeles International,83,Los Angeles,California,United States of America (the)
Daily,2020-05-30,1.0,Los Angeles International,60,Los Angeles,California,United States of America (the)
Daily,2020-06-03,1.0,Los Angeles International,63,Los Angeles,California,United States of America (the)
Daily,2020-09-08,1.0,Los Angeles International,67,Los Angeles,California,United States of America (the)
Daily,2020-09-15,1.0,Los Angeles International,83,Los Angeles,California,United States of America (the)
Daily,2020-11-17,1.0,Los Angeles International,87,Los Angeles,California,United States of America (the)
Daily,2020-04-02,1.0,Los Angeles International,70,Los Angeles,California,United States of America (the)
Daily,2020-04-21,1.0,Los Angeles International,61,Los Angeles,California,United States of America (the)
Daily,2020-05-24,1.0,Los Angeles International,52,Los Angeles,California,United States of America (the)
Daily,2020-07-31,1.0,Los Angeles International,70,Los Angeles,California,United States of America (the)
Daily,2020-09-29,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-04-07,1.0,Los Angeles International,59,Los Angeles,California,United States of America (the)
Daily,2020-05-02,1.0,Los Angeles International,61,Los Angeles,California,United States of America (the)
Daily,2020-09-26,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-10-27,1.0,Los Angeles International,86,Los Angeles,California,United States of America (the)
Daily,2020-11-19,1.0,Los Angeles International,83,Los Angeles,California,United States of America (the)
Daily,2020-04-18,1.0,Los Angeles International,57,Los Angeles,California,United States of America (the)
Daily,2020-11-23,1.0,Los Angeles International,87,Los Angeles,California,United States of America (the)
Daily,2020-03-29,1.0,Los Angeles International,58,Los Angeles,California,United States of America (the)
Daily,2020-04-09,1.0,Los Angeles International,55,Los Angeles,California,United States of America (the)
Daily,2020-07-28,1.0,Los Angeles International,72,Los Angeles,California,United States of America (the)
Daily,2020-09-28,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-10-05,1.0,Los Angeles International,78,Los Angeles,California,United States of America (the)
Daily,2020-10-09,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-10-26,1.0,Los Angeles International,84,Los Angeles,California,United States of America (the)
Daily,2020-11-26,1.0,Los Angeles International,55,Los Angeles,California,United States of America (the)
Daily,2020-04-19,1.0,Los Angeles International,43,Los Angeles,California,United States of America (the)
Daily,2020-06-04,1.0,Los Angeles International,68,Los Angeles,California,United States of America (the)
Daily,2020-06-24,1.0,Los Angeles International,67,Los Angeles,California,United States of America (the)
Daily,2020-07-07,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-11-14,1.0,Los Angeles International,79,Los Angeles,California,United States of America (the)
Daily,2020-05-09,1.0,Los Angeles International,56,Los Angeles,California,United States of America (the)
Daily,2020-07-14,1.0,Los Angeles International,79,Los Angeles,California,United States of America (the)
Daily,2020-07-21,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-08-19,1.0,Los Angeles International,73,Los Angeles,California,United States of America (the)
Daily,2020-11-13,1.0,Los Angeles International,90,Los Angeles,California,United States of America (the)
Daily,2020-04-04,1.0,Los Angeles International,55,Los Angeles,California,United States of America (the)
Daily,2020-06-02,1.0,Los Angeles International,67,Los Angeles,California,United States of America (the)
Daily,2020-08-30,1.0,Los Angeles International,66,Los Angeles,California,United States of America (the)
Daily,2020-11-22,1.0,Los Angeles International,86,Los Angeles,California,United States of America (the)
Daily,2020-04-05,1.0,Los Angeles International,46,Los Angeles,California,United States of America (the)
Daily,2020-06-30,1.0,Los Angeles International,72,Los Angeles,California,United States of America (the)
Daily,2020-08-27,1.0,Los Angeles International,80,Los Angeles,California,United States of America (the)
Daily,2020-11-11,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-04-20,1.0,San Francisco International,46,South San Francisco,California,United States of America (the)
Daily,2020-04-23,1.0,San Francisco International,39,South San Francisco,California,United States of America (the)
Daily,2020-06-20,1.0,San Francisco International,36,South San Francisco,California,United States of America (the)
Daily,2020-06-27,1.0,San Francisco International,46,South San Francisco,California,United States of America (the)
Daily,2020-07-05,1.0,San Francisco International,29,South San Francisco,California,United States of America (the)
Daily,2020-11-20,1.0,San Francisco International,56,South San Francisco,California,United States of America (the)
Daily,2020-05-18,1.0,San Francisco International,38,South San Francisco,California,United States of America (the)
Daily,2020-07-04,1.0,San Francisco International,22,South San Francisco,California,United States of America (the)
Daily,2020-07-12,1.0,San Francisco International,29,South San Francisco,California,United States of America (the)
Daily,2020-07-16,1.0,San Francisco International,45,South San Francisco,California,United States of America (the)
Daily,2020-08-07,1.0,San Francisco International,59,South San Francisco,California,United States of America (the)
Daily,2020-08-20,1.0,San Francisco International,47,South San Francisco,California,United States of America (the)
Daily,2020-04-22,1.0,San Francisco International,41,South San Francisco,California,United States of America (the)
Daily,2020-08-18,1.0,San Francisco International,52,South San Francisco,California,United States of America (the)
Daily,2020-03-24,1.0,San Francisco International,61,South San Francisco,California,United States of America (the)
Daily,2020-06-30,1.0,San Francisco International,50,South San Francisco,California,United States of America (the)
Daily,2020-08-26,1.0,San Francisco International,55,South San Francisco,California,United States of America (the)
Daily,2020-09-15,1.0,San Francisco International,65,South San Francisco,California,United States of America (the)
Daily,2020-10-27,1.0,San Francisco International,52,South San Francisco,California,United States of America (the)
Daily,2020-11-19,1.0,San Francisco International,47,South San Francisco,California,United States of America (the)
Daily,2020-11-22,1.0,San Francisco International,46,South San Francisco,California,United States of America (the)
Daily,2020-04-28,1.0,San Francisco International,44,South San Francisco,California,United States of America (the)
Daily,2020-08-19,1.0,San Francisco International,48,South San Francisco,California,United States of America (the)
Daily,2020-03-27,1.0,San Francisco International,48,South San Francisco,California,United States of America (the)
Daily,2020-03-30,1.0,San Francisco International,49,South San Francisco,California,United States of America (the)
Daily,2020-05-13,1.0,San Francisco International,49,South San Francisco,California,United States of America (the)
Daily,2020-05-25,1.0,San Francisco International,21,South San Francisco,California,United States of America (the)
Daily,2020-06-11,1.0,San Francisco International,45,South San Francisco,California,United States of America (the)
Daily,2020-07-10,1.0,San Francisco International,49,South San Francisco,California,United States of America (the)
Daily,2020-07-11,1.0,San Francisco International,39,South San Francisco,California,United States of America (the)
Daily,2020-07-25,1.0,San Francisco International,43,South San Francisco,California,United States of America (the)
Daily,2020-03-17,1.0,San Francisco International,89,South San Francisco,California,United States of America (the)
Daily,2020-03-22,1.0,San Francisco International,84,South San Francisco,California,United States of America (the)
Daily,2020-07-27,1.0,San Francisco International,61,South San Francisco,California,United States of America (the)
Daily,2020-04-19,1.0,San Francisco International,21,South San Francisco,California,United States of America (the)
Daily,2020-05-28,1.0,San Francisco International,47,South San Francisco,California,United States of America (the)
Daily,2020-07-03,1.0,San Francisco International,33,South San Francisco,California,United States of America (the)
Daily,2020-09-08,1.0,San Francisco International,64,South San Francisco,California,United States of America (the)
Daily,2020-09-28,1.0,San Francisco International,47,South San Francisco,California,United States of America (the)
Daily,2020-10-15,1.0,San Francisco International,51,South San Francisco,California,United States of America (the)
Daily,2020-10-31,1.0,San Francisco International,42,South San Francisco,California,United States of America (the)
Daily,2020-03-16,1.0,San Francisco International,81,South San Francisco,California,United States of America (the)
Daily,2020-03-28,1.0,San Francisco International,55,South San Francisco,California,United States of America (the)
Daily,2020-06-09,1.0,San Francisco International,43,South San Francisco,California,United States of America (the)
Daily,2020-10-18,1.0,San Francisco International,41,South San Francisco,California,United States of America (the)
Daily,2020-11-21,1.0,San Francisco International,49,South San Francisco,California,United States of America (the)
Daily,2020-11-30,1.0,San Francisco International,46,South San Francisco,California,United States of America (the)
Daily,2020-03-20,1.0,San Francisco International,58,South San Francisco,California,United States of America (the)
Daily,2020-05-14,1.0,San Francisco International,48,South San Francisco,California,United States of America (the)
Daily,2020-05-16,1.0,San Francisco International,38,South San Francisco,California,United States of America (the)
Daily,2020-05-26,1.0,San Francisco International,35,South San Francisco,California,United States of America (the)
Daily,2020-05-27,1.0,San Francisco International,45,South San Francisco,California,United States of America (the)
Daily,2020-06-21,1.0,San Francisco International,20,South San Francisco,California,United States of America (the)
Daily,2020-08-24,1.0,San Francisco International,50,South San Francisco,California,United States of America (the)
Daily,2020-09-01,1.0,San Francisco International,80,South San Francisco,California,United States of America (the)
Daily,2020-11-01,1.0,San Francisco International,37,South San Francisco,California,United States of America (the)
Daily,2020-11-04,1.0,San Francisco International,40,South San Francisco,California,United States of America (the)
Daily,2020-11-17,1.0,San Francisco International,59,South San Francisco,California,United States of America (the)
Daily,2020-11-25,1.0,San Francisco International,54,South San Francisco,California,United States of America (the)
Daily,2020-05-23,1.0,San Francisco International,40,South San Francisco,California,United States of America (the)
Daily,2020-06-06,1.0,San Francisco International,37,South San Francisco,California,United States of America (the)
