AggregationMethod,Date,Version,AirportName,PercentOfBaseline,City,State,Country
Daily,2020-07-24,1.0,Seattle-Tacoma International ,75,SeaTac,Washington,United States of America (the)
Daily,2020-10-29,1.0,Seattle-Tacoma International ,63,SeaTac,Washington,United States of America (the)
Daily,2020-11-15,1.0,Seattle-Tacoma International ,59,SeaTac,Washington,United States of America (the)
Daily,2020-06-01,1.0,Seattle-Tacoma International ,61,SeaTac,Washington,United States of America (the)
Daily,2020-11-21,1.0,Seattle-Tacoma International ,61,SeaTac,Washington,United States of America (the)
Daily,2020-05-22,1.0,Seattle-Tacoma International ,63,SeaTac,Washington,United States of America (the)
Daily,2020-06-04,1.0,Seattle-Tacoma International ,70,SeaTac,Washington,United States of America (the)
Daily,2020-08-01,1.0,Seattle-Tacoma International ,54,SeaTac,Washington,United States of America (the)
Daily,2020-08-11,1.0,Seattle-Tacoma International ,66,SeaTac,Washington,United States of America (the)
Daily,2020-08-19,1.0,Seattle-Tacoma International ,73,SeaTac,Washington,United States of America (the)
Daily,2020-10-22,1.0,Seattle-Tacoma International ,73,SeaTac,Washington,United States of America (the)
Daily,2020-04-04,1.0,Seattle-Tacoma International ,45,SeaTac,Washington,United States of America (the)
Daily,2020-07-03,1.0,Seattle-Tacoma International ,48,SeaTac,Washington,United States of America (the)
Daily,2020-08-16,1.0,Seattle-Tacoma International ,53,SeaTac,Washington,United States of America (the)
Daily,2020-08-18,1.0,Seattle-Tacoma International ,64,SeaTac,Washington,United States of America (the)
Daily,2020-08-20,1.0,Seattle-Tacoma International ,68,SeaTac,Washington,United States of America (the)
Daily,2020-09-29,1.0,Seattle-Tacoma International ,83,SeaTac,Washington,United States of America (the)
Daily,2020-10-14,1.0,Seattle-Tacoma International ,76,SeaTac,Washington,United States of America (the)
Daily,2020-10-25,1.0,Seattle-Tacoma International ,57,SeaTac,Washington,United States of America (the)
Daily,2020-10-31,1.0,Seattle-Tacoma International ,56,SeaTac,Washington,United States of America (the)
Daily,2020-11-03,1.0,Seattle-Tacoma International ,75,SeaTac,Washington,United States of America (the)
Daily,2020-03-18,1.0,Seattle-Tacoma International ,92,SeaTac,Washington,United States of America (the)
