AggregationMethod,Date,Version,AirportName,PercentOfBaseline,City,State,Country
Daily,2020-08-20,1.0,Dallas/Fort Worth International ,81,Grapevine,Texas,United States of America (the)
Daily,2020-08-21,1.0,Dallas/Fort Worth International ,76,Grapevine,Texas,United States of America (the)
Daily,2020-04-13,1.0,Dallas/Fort Worth International ,59,Grapevine,Texas,United States of America (the)
Daily,2020-06-30,1.0,Dallas/Fort Worth International ,77,Grapevine,Texas,United States of America (the)
Daily,2020-07-13,1.0,Dallas/Fort Worth International ,82,Grapevine,Texas,United States of America (the)
Daily,2020-09-09,1.0,Dallas/Fort Worth International ,96,Grapevine,Texas,United States of America (the)
Daily,2020-09-20,1.0,Dallas/Fort Worth International ,70,Grapevine,Texas,United States of America (the)
Daily,2020-11-22,1.0,Dallas/Fort Worth International ,80,Grapevine,Texas,United States of America (the)
Daily,2020-05-14,1.0,Dallas/Fort Worth International ,66,Grapevine,Texas,United States of America (the)
Daily,2020-07-31,1.0,Dallas/Fort Worth International ,74,Grapevine,Texas,United States of America (the)
Daily,2020-08-15,1.0,Dallas/Fort Worth International ,67,Grapevine,Texas,United States of America (the)
Daily,2020-10-05,1.0,Dallas/Fort Worth International ,95,Grapevine,Texas,United States of America (the)
Daily,2020-04-16,1.0,Dallas/Fort Worth International ,64,Grapevine,Texas,United States of America (the)
Daily,2020-04-29,1.0,Dallas/Fort Worth International ,67,Grapevine,Texas,United States of America (the)
Daily,2020-06-16,1.0,Dallas/Fort Worth International ,78,Grapevine,Texas,United States of America (the)
Daily,2020-06-22,1.0,Dallas/Fort Worth International ,69,Grapevine,Texas,United States of America (the)
Daily,2020-08-07,1.0,Dallas/Fort Worth International ,84,Grapevine,Texas,United States of America (the)
Daily,2020-09-23,1.0,Dallas/Fort Worth International ,100,Grapevine,Texas,United States of America (the)
Daily,2020-10-02,1.0,Dallas/Fort Worth International ,92,Grapevine,Texas,United States of America (the)
Daily,2020-06-28,1.0,Dallas/Fort Worth International ,54,Grapevine,Texas,United States of America (the)
Daily,2020-09-11,1.0,Dallas/Fort Worth International ,90,Grapevine,Texas,United States of America (the)
Daily,2020-11-24,1.0,Dallas/Fort Worth International ,93,Grapevine,Texas,United States of America (the)
Daily,2020-03-20,1.0,Dallas/Fort Worth International ,71,Grapevine,Texas,United States of America (the)
Daily,2020-03-24,1.0,Dallas/Fort Worth International ,75,Grapevine,Texas,United States of America (the)
Daily,2020-03-27,1.0,Dallas/Fort Worth International ,76,Grapevine,Texas,United States of America (the)
Daily,2020-03-29,1.0,Dallas/Fort Worth International ,49,Grapevine,Texas,United States of America (the)
Daily,2020-05-04,1.0,Dallas/Fort Worth International ,69,Grapevine,Texas,United States of America (the)
Daily,2020-06-03,1.0,Dallas/Fort Worth International ,70,Grapevine,Texas,United States of America (the)
